,track_id,track_artist_name,track_name,track_album_name,track_genre,track_popularity,target_track_id,target_track_artist_name,target_track_name,target_track_album_name,target_track_genre,target_track_popularity,similarity
25,1hx8aP2GJPmNk6DpkxXaTD,Fella;Marcus Cardello,Dream of Us,Dream of Us,electronic,55,56NkIxSZZiMpFP5ZNSxtnT,The Strokes,Someday,Is This It,garage,70,15
26,1hx8aP2GJPmNk6DpkxXaTD,Fella;Marcus Cardello,Dream of Us,Dream of Us,electronic,55,7kzKAuUzOITUauHAhoMoxA,The Strokes,Last Nite,Is This It,garage,74,17
27,1hx8aP2GJPmNk6DpkxXaTD,Fella;Marcus Cardello,Dream of Us,Dream of Us,electronic,55,2pAD0PKMUMtxlMvz33tYzB,The Strokes,Is This It,Is This It,garage,61,24
28,1hx8aP2GJPmNk6DpkxXaTD,Fella;Marcus Cardello,Dream of Us,Dream of Us,electronic,55,2LMloFiV7DHpBhITOaBSam,The Strokes,Hard To Explain,Is This It,garage,63,36
29,1hx8aP2GJPmNk6DpkxXaTD,Fella;Marcus Cardello,Dream of Us,Dream of Us,electronic,55,4KC2Z9dL4jL61Ys35N6srg,The Strokes,Barely Legal,Is This It,garage,57,27
30,1hx8aP2GJPmNk6DpkxXaTD,Fella;Marcus Cardello,Dream of Us,Dream of Us,electronic,55,1EsgUWQsxGBwnu3NATDjiU,The Strokes,The Modern Age,Is This It,garage,57,17
31,1hx8aP2GJPmNk6DpkxXaTD,Fella;Marcus Cardello,Dream of Us,Dream of Us,electronic,55,7G8hUONVhvJnkD3Ak8mNF1,The Strokes,Soma,Is This It,garage,54,20
32,1hx8aP2GJPmNk6DpkxXaTD,Fella;Marcus Cardello,Dream of Us,Dream of Us,electronic,55,4pXyK9GW7fuT645U0DLYYF,The Strokes,"Alone, Together",Is This It,garage,52,15
33,1hx8aP2GJPmNk6DpkxXaTD,Fella;Marcus Cardello,Dream of Us,Dream of Us,electronic,55,37cb7mzkQKksGm0noGDXeh,The Strokes,Trying Your Luck,Is This It,garage,53,15
34,1hx8aP2GJPmNk6DpkxXaTD,Fella;Marcus Cardello,Dream of Us,Dream of Us,electronic,55,0J2OnBNKwt0KICDyDFPUvl,The Strokes,Take It Or Leave It,Is This It,garage,53,24
35,1hx8aP2GJPmNk6DpkxXaTD,Fella;Marcus Cardello,Dream of Us,Dream of Us,electronic,55,7xuu4ByQkm8qhnwJQk994r,The Strokes,New York City Cops,Is This It,garage,52,14
36,2klWfM19A7TfwlxBQLNbIZ,Roberto Firpo,Olga,El Aeroplano,tango,18,7kzKAuUzOITUauHAhoMoxA,The Strokes,Last Nite,Is This It,alt-rock,74,6
37,2klWfM19A7TfwlxBQLNbIZ,Roberto Firpo,Olga,El Aeroplano,tango,18,56NkIxSZZiMpFP5ZNSxtnT,The Strokes,Someday,Is This It,garage,70,5
38,2klWfM19A7TfwlxBQLNbIZ,Roberto Firpo,Olga,El Aeroplano,tango,18,7kzKAuUzOITUauHAhoMoxA,The Strokes,Last Nite,Is This It,garage,74,6
39,2klWfM19A7TfwlxBQLNbIZ,Roberto Firpo,Olga,El Aeroplano,tango,18,2pAD0PKMUMtxlMvz33tYzB,The Strokes,Is This It,Is This It,garage,61,13
40,2klWfM19A7TfwlxBQLNbIZ,Roberto Firpo,Olga,El Aeroplano,tango,18,2LMloFiV7DHpBhITOaBSam,The Strokes,Hard To Explain,Is This It,garage,63,25
41,2klWfM19A7TfwlxBQLNbIZ,Roberto Firpo,Olga,El Aeroplano,tango,18,4KC2Z9dL4jL61Ys35N6srg,The Strokes,Barely Legal,Is This It,garage,57,38
42,2klWfM19A7TfwlxBQLNbIZ,Roberto Firpo,Olga,El Aeroplano,tango,18,1EsgUWQsxGBwnu3NATDjiU,The Strokes,The Modern Age,Is This It,garage,57,28
43,2klWfM19A7TfwlxBQLNbIZ,Roberto Firpo,Olga,El Aeroplano,tango,18,7G8hUONVhvJnkD3Ak8mNF1,The Strokes,Soma,Is This It,garage,54,31
44,2klWfM19A7TfwlxBQLNbIZ,Roberto Firpo,Olga,El Aeroplano,tango,18,4pXyK9GW7fuT645U0DLYYF,The Strokes,"Alone, Together",Is This It,garage,52,26
45,2klWfM19A7TfwlxBQLNbIZ,Roberto Firpo,Olga,El Aeroplano,tango,18,37cb7mzkQKksGm0noGDXeh,The Strokes,Trying Your Luck,Is This It,garage,53,26
46,2klWfM19A7TfwlxBQLNbIZ,Roberto Firpo,Olga,El Aeroplano,tango,18,0J2OnBNKwt0KICDyDFPUvl,The Strokes,Take It Or Leave It,Is This It,garage,53,35
47,2klWfM19A7TfwlxBQLNbIZ,Roberto Firpo,Olga,El Aeroplano,tango,18,7xuu4ByQkm8qhnwJQk994r,The Strokes,New York City Cops,Is This It,garage,52,3
48,13ARK2D0TBE26wVOqh3pJQ,Don Omar,Dile,Última Misión Reggaeton,reggae,0,7kzKAuUzOITUauHAhoMoxA,The Strokes,Last Nite,Is This It,alt-rock,74,8
49,13ARK2D0TBE26wVOqh3pJQ,Don Omar,Dile,Última Misión Reggaeton,reggae,0,56NkIxSZZiMpFP5ZNSxtnT,The Strokes,Someday,Is This It,garage,70,9
50,13ARK2D0TBE26wVOqh3pJQ,Don Omar,Dile,Última Misión Reggaeton,reggae,0,7kzKAuUzOITUauHAhoMoxA,The Strokes,Last Nite,Is This It,garage,74,8
51,13ARK2D0TBE26wVOqh3pJQ,Don Omar,Dile,Última Misión Reggaeton,reggae,0,2pAD0PKMUMtxlMvz33tYzB,The Strokes,Is This It,Is This It,garage,61,1
52,13ARK2D0TBE26wVOqh3pJQ,Don Omar,Dile,Última Misión Reggaeton,reggae,0,2LMloFiV7DHpBhITOaBSam,The Strokes,Hard To Explain,Is This It,garage,63,9
53,13ARK2D0TBE26wVOqh3pJQ,Don Omar,Dile,Última Misión Reggaeton,reggae,0,4KC2Z9dL4jL61Ys35N6srg,The Strokes,Barely Legal,Is This It,garage,57,54
54,13ARK2D0TBE26wVOqh3pJQ,Don Omar,Dile,Última Misión Reggaeton,reggae,0,1EsgUWQsxGBwnu3NATDjiU,The Strokes,The Modern Age,Is This It,garage,57,44
55,13ARK2D0TBE26wVOqh3pJQ,Don Omar,Dile,Última Misión Reggaeton,reggae,0,7G8hUONVhvJnkD3Ak8mNF1,The Strokes,Soma,Is This It,garage,54,46
56,13ARK2D0TBE26wVOqh3pJQ,Don Omar,Dile,Última Misión Reggaeton,reggae,0,4pXyK9GW7fuT645U0DLYYF,The Strokes,"Alone, Together",Is This It,garage,52,41
57,13ARK2D0TBE26wVOqh3pJQ,Don Omar,Dile,Última Misión Reggaeton,reggae,0,37cb7mzkQKksGm0noGDXeh,The Strokes,Trying Your Luck,Is This It,garage,53,42
58,13ARK2D0TBE26wVOqh3pJQ,Don Omar,Dile,Última Misión Reggaeton,reggae,0,0J2OnBNKwt0KICDyDFPUvl,The Strokes,Take It Or Leave It,Is This It,garage,53,51
59,13ARK2D0TBE26wVOqh3pJQ,Don Omar,Dile,Última Misión Reggaeton,reggae,0,7xuu4ByQkm8qhnwJQk994r,The Strokes,New York City Cops,Is This It,garage,52,11
60,5Xzw2ghybgC5cCwcwxPTVy,25th Annual Putnam County Spelling Bee Original Cast,I'm Not That Smart - Reprise,25th Annual Putnam County Spelling Bee (Original Broadway Cast Recording),show-tunes,27,7kzKAuUzOITUauHAhoMoxA,The Strokes,Last Nite,Is This It,alt-rock,74,81
61,5Xzw2ghybgC5cCwcwxPTVy,25th Annual Putnam County Spelling Bee Original Cast,I'm Not That Smart - Reprise,25th Annual Putnam County Spelling Bee (Original Broadway Cast Recording),show-tunes,27,56NkIxSZZiMpFP5ZNSxtnT,The Strokes,Someday,Is This It,garage,70,79
62,5Xzw2ghybgC5cCwcwxPTVy,25th Annual Putnam County Spelling Bee Original Cast,I'm Not That Smart - Reprise,25th Annual Putnam County Spelling Bee (Original Broadway Cast Recording),show-tunes,27,7kzKAuUzOITUauHAhoMoxA,The Strokes,Last Nite,Is This It,garage,74,81
63,5Xzw2ghybgC5cCwcwxPTVy,25th Annual Putnam County Spelling Bee Original Cast,I'm Not That Smart - Reprise,25th Annual Putnam County Spelling Bee (Original Broadway Cast Recording),show-tunes,27,2pAD0PKMUMtxlMvz33tYzB,The Strokes,Is This It,Is This It,garage,61,88
64,5Xzw2ghybgC5cCwcwxPTVy,25th Annual Putnam County Spelling Bee Original Cast,I'm Not That Smart - Reprise,25th Annual Putnam County Spelling Bee (Original Broadway Cast Recording),show-tunes,27,2LMloFiV7DHpBhITOaBSam,The Strokes,Hard To Explain,Is This It,garage,63,100
65,5Xzw2ghybgC5cCwcwxPTVy,25th Annual Putnam County Spelling Bee Original Cast,I'm Not That Smart - Reprise,25th Annual Putnam County Spelling Bee (Original Broadway Cast Recording),show-tunes,27,4KC2Z9dL4jL61Ys35N6srg,The Strokes,Barely Legal,Is This It,garage,57,35
66,5Xzw2ghybgC5cCwcwxPTVy,25th Annual Putnam County Spelling Bee Original Cast,I'm Not That Smart - Reprise,25th Annual Putnam County Spelling Bee (Original Broadway Cast Recording),show-tunes,27,1EsgUWQsxGBwnu3NATDjiU,The Strokes,The Modern Age,Is This It,garage,57,45
67,5Xzw2ghybgC5cCwcwxPTVy,25th Annual Putnam County Spelling Bee Original Cast,I'm Not That Smart - Reprise,25th Annual Putnam County Spelling Bee (Original Broadway Cast Recording),show-tunes,27,7G8hUONVhvJnkD3Ak8mNF1,The Strokes,Soma,Is This It,garage,54,42
68,5Xzw2ghybgC5cCwcwxPTVy,25th Annual Putnam County Spelling Bee Original Cast,I'm Not That Smart - Reprise,25th Annual Putnam County Spelling Bee (Original Broadway Cast Recording),show-tunes,27,4pXyK9GW7fuT645U0DLYYF,The Strokes,"Alone, Together",Is This It,garage,52,48
69,5Xzw2ghybgC5cCwcwxPTVy,25th Annual Putnam County Spelling Bee Original Cast,I'm Not That Smart - Reprise,25th Annual Putnam County Spelling Bee (Original Broadway Cast Recording),show-tunes,27,37cb7mzkQKksGm0noGDXeh,The Strokes,Trying Your Luck,Is This It,garage,53,47
70,5Xzw2ghybgC5cCwcwxPTVy,25th Annual Putnam County Spelling Bee Original Cast,I'm Not That Smart - Reprise,25th Annual Putnam County Spelling Bee (Original Broadway Cast Recording),show-tunes,27,0J2OnBNKwt0KICDyDFPUvl,The Strokes,Take It Or Leave It,Is This It,garage,53,38
71,5Xzw2ghybgC5cCwcwxPTVy,25th Annual Putnam County Spelling Bee Original Cast,I'm Not That Smart - Reprise,25th Annual Putnam County Spelling Bee (Original Broadway Cast Recording),show-tunes,27,7xuu4ByQkm8qhnwJQk994r,The Strokes,New York City Cops,Is This It,garage,52,78
72,7vvRkLPIvfjjmCIqNxBuEZ,Soul II Soul;Caron Wheeler,Back To Life,Keep On Movin',british,66,7kzKAuUzOITUauHAhoMoxA,The Strokes,Last Nite,Is This It,alt-rock,74,2
73,7vvRkLPIvfjjmCIqNxBuEZ,Soul II Soul;Caron Wheeler,Back To Life,Keep On Movin',british,66,56NkIxSZZiMpFP5ZNSxtnT,The Strokes,Someday,Is This It,garage,70,3
74,7vvRkLPIvfjjmCIqNxBuEZ,Soul II Soul;Caron Wheeler,Back To Life,Keep On Movin',british,66,7kzKAuUzOITUauHAhoMoxA,The Strokes,Last Nite,Is This It,garage,74,2
75,7vvRkLPIvfjjmCIqNxBuEZ,Soul II Soul;Caron Wheeler,Back To Life,Keep On Movin',british,66,2pAD0PKMUMtxlMvz33tYzB,The Strokes,Is This It,Is This It,garage,61,3
